Title,Views,Upload_data,Video_link,Thumbnail_link
India's Biggest Technical Content Writing Event is now LIVE 🔴 Participate Now | GeeksforGeeks,775 views,4 months ago,/watch?v=J63OOZzo-p8,https://i.ytimg.com/vi/J63OOZzo-p8/hqdefault.jpg
Landing SDE Role at Paytm | GeeksforGeeks,1.4K views,4 months ago,/watch?v=fyo53bLMyA4,https://i.ytimg.com/vi/fyo53bLMyA4/hqdefault.jpg
SDE at Paytm using GFG | GeeksforGeeks,1.3K views,4 months ago,/watch?v=RB1qpEZrcYo,https://i.ytimg.com/vi/RB1qpEZrcYo/hqdefault.jpg
Roadmap to a Career at Amazon | Preparation Strategies by Senior QAE | GeeksforGeeks,5.1K views,4 months ago,/watch?v=e_nnIOwhgzY,https://i.ytimg.com/vi/e_nnIOwhgzY/hqdefault.jpg
Happy Diwali | GeeksforGeeks presents office Diwali Party,1.3K views,4 months ago,/watch?v=mCvuYVwmU2Y,https://i.ytimg.com/vi/mCvuYVwmU2Y/hqdefault.jpg
Data Analysis Complete Roadmap | GeeksforGeeks,3K views,5 months ago,/watch?v=VIg0Ka5U3LA,https://i.ytimg.com/vi/VIg0Ka5U3LA/hqdefault.jpg
Roadmap to a Career at Microsoft | Preparation Strategies by Microsoft SDE | GeeksforGeeks,4.7K views,5 months ago,/watch?v=CyI0QuVWawQ,https://i.ytimg.com/vi/CyI0QuVWawQ/hqdefault.jpg
Geek Week 2022 |11th - 17th October | GeeksforGeeks,3.3K views,5 months ago,/watch?v=Aby3ldYnIQE,https://i.ytimg.com/vi/Aby3ldYnIQE/hqdefault.jpg
Happy Dussehra 🔥,1.6K views,5 months ago,/watch?v=WkzmnYyEoc8,https://i.ytimg.com/vi/WkzmnYyEoc8/hqdefault.jpg
Stay Tuned for a Big Surprise!!! | GeeksforGeeks,3.1K views,5 months ago,/watch?v=STVrifPDpVU,https://i.ytimg.com/vi/STVrifPDpVU/hqdefault.jpg
GeeksforGeeks Goes to Delhi Technological University | GfG X DTU,1.7K views,6 months ago,/watch?v=QqHMu9gwlno,https://i.ytimg.com/vi/QqHMu9gwlno/hqdefault.jpg
Roadmap to a CAREER AT WALMART | Preparation Strategies by Walmart SDE | GeeksforGeeks,4.5K views,6 months ago,/watch?v=AQHyMunhc_k,https://i.ytimg.com/vi/AQHyMunhc_k/hqdefault.jpg
Roadmap to Web Development | Everything About Web Development Ft. Prakash Sakari,2.3K views,6 months ago,/watch?v=PLdt7UobcoY,https://i.ytimg.com/vi/PLdt7UobcoY/hqdefault.jpg
Road Map of DSA for Web Development | Everything About Web Development Ft. Prakash Sakari,2.9K views,6 months ago,/watch?v=1b0P4IG7MIc,https://i.ytimg.com/vi/1b0P4IG7MIc/hqdefault.jpg
Biggest Coding Mistakes | Everything About Web Development Ft. Prakash Sakari | GeeksforGeeks,2.1K views,6 months ago,/watch?v=cAYfzY-9dao,https://i.ytimg.com/vi/cAYfzY-9dao/hqdefault.jpg
Overrated Topics in Web Development | Everything About Web Development Ft. Prakash Sakari,998 views,6 months ago,/watch?v=wnwAYPTf9Z8,https://i.ytimg.com/vi/wnwAYPTf9Z8/hqdefault.jpg
How Important is UI for Websites? | Everything About Web Development | GeeksforGeeks,829 views,6 months ago,/watch?v=imRxEskXGx8,https://i.ytimg.com/vi/imRxEskXGx8/hqdefault.jpg
Underrated Topics in Web Development | Everything About Web Development Ft. Prakash Sakari,877 views,6 months ago,/watch?v=MvxiK9tfjNw,https://i.ytimg.com/vi/MvxiK9tfjNw/hqdefault.jpg
Frameworks to Choose for Web Development | Everything About Web Development Ft. Prakash Sakari,1.1K views,6 months ago,/watch?v=UbFk-BTDnqM,https://i.ytimg.com/vi/UbFk-BTDnqM/hqdefault.jpg
What is Frontend and Backend? | Everything About Web Development Ft. Prakash Sakari | GeeksforGeeks,1.7K views,6 months ago,/watch?v=xJNtTqSj54M,https://i.ytimg.com/vi/xJNtTqSj54M/hqdefault.jpg
"Is HTML, CSS and Javascript Enough? | Everything About Web Development Ft. Prakash Sakari",2.4K views,6 months ago,/watch?v=EtZIUwvjzjI,https://i.ytimg.com/vi/EtZIUwvjzjI/hqdefault.jpg
Web Developers vs Website Builders | Everything About Web Development Ft. Prakash Sakari,1.6K views,6 months ago,/watch?v=s09kmxXbPOg,https://i.ytimg.com/vi/s09kmxXbPOg/hqdefault.jpg
Future of Web Development | Everything About Web Development Ft. Prakash Sakari | GeeksforGeeks,3.5K views,6 months ago,/watch?v=B40zC1_sJiE,https://i.ytimg.com/vi/B40zC1_sJiE/hqdefault.jpg
Web 3.0 Explained! Web 1.0 vs Web 2.0 vs Web3.0| Everything About Web Development Ft. Prakash Sakari,3.4K views,6 months ago,/watch?v=6ktny7tGepA,https://i.ytimg.com/vi/6ktny7tGepA/hqdefault.jpg
Job or Higher Studies? The BEST Choice After Graduation! Ft. Avinash Kumar | GeeksforGeeks,2.9K views,6 months ago,/watch?v=fYlESZ6SaCA,https://i.ytimg.com/vi/fYlESZ6SaCA/hqdefault.jpg
Capture Your Dream Job with Job-A-Thon | Monthly Hiring Challenges by GeeksforGeeks,2.9K views,7 months ago,/watch?v=m7mnwQKgpzw,https://i.ytimg.com/vi/m7mnwQKgpzw/hqdefault.jpg
Walmart Interview Experience 2022 | Walmart Interview Questions | GeeksforGeeks,7.5K views,7 months ago,/watch?v=eKzxoEG981g,https://i.ytimg.com/vi/eKzxoEG981g/hqdefault.jpg
How A Medical Aspirant Cracked FAANG? | Amazon Interview Experience | GeeksforGeeks,3K views,7 months ago,/watch?v=Dg4coPjDc6M,https://i.ytimg.com/vi/Dg4coPjDc6M/hqdefault.jpg
Refer And Earn | Referral Program By GeeksforGeeks,2K views,7 months ago,/watch?v=V6J24JJGhXc,https://i.ytimg.com/vi/V6J24JJGhXc/hqdefault.jpg
A++ Advice To Get Your Dream Job | GeeksforGeeks ft. @thegeekmonk1707,4.6K views,7 months ago,/watch?v=npPgivbw-9U,https://i.ytimg.com/vi/npPgivbw-9U/hqdefault.jpg
Dream Company Ka Sapna Ab Hoga Poora | GeeksforGeeks ft. @shashank_mishra,5.5K views,7 months ago,/watch?v=uDP13fwrhwI,https://i.ytimg.com/vi/uDP13fwrhwI/hqdefault.jpg
"GfG Karlo, Ho Jayega! | GeeksforGeeks ft. @itssiddharthsingh",5.6K views,7 months ago,/watch?v=KfFVWqHUjPo,https://i.ytimg.com/vi/KfFVWqHUjPo/hqdefault.jpg
Refer Your Friends: Learn And Earn Together | Refer & Earn | GeeksforGeeks,1.2K views,7 months ago,/watch?v=5G9xd86FPUg,https://i.ytimg.com/vi/5G9xd86FPUg/hqdefault.jpg
Job-A-Thon Exclusive: Hiring Challenge For Amazon Alexa | GeeksforGeeks,3.7K views,7 months ago,/watch?v=m1uCZUvw8Wg,https://i.ytimg.com/vi/m1uCZUvw8Wg/hqdefault.jpg
Presenting Coders Ka Dost | GeeksforGeeks Ft. @HarmanSings,7.6K views,8 months ago,/watch?v=LawzObS9uww,https://i.ytimg.com/vi/LawzObS9uww/hqdefault.jpg
How To Crack FAANG Companies As A Tier-3 College Student? | GeeksforGeeks,5.9K views,8 months ago,/watch?v=bgCWuH4ZpM8,https://i.ytimg.com/vi/bgCWuH4ZpM8/hqdefault.jpg
Weekly Interview Series By GeeksforGeeks | Practice Interview Problems,81K views,8 months ago,/watch?v=1D7HZw9RQ9M,https://i.ytimg.com/vi/1D7HZw9RQ9M/hqdefault.jpg
THIS Will Make You RICH! | Make Money Sitting at Home | GeeksforGeeks,5.4K views,8 months ago,/watch?v=GgTKUySIzD0,https://i.ytimg.com/vi/GgTKUySIzD0/hqdefault.jpg
Geek-O-Lympics 2022 | GeeksforGeeks,3.6K views,8 months ago,/watch?v=G3T57IkE-PY,https://i.ytimg.com/vi/G3T57IkE-PY/hqdefault.jpg
How To Land A Consultancy Job Without An MBA?  Ft. Dhairya Gangwani | GeeksforGeeks,3.9K views,8 months ago,/watch?v=0bce9CP2uEo,https://i.ytimg.com/vi/0bce9CP2uEo/hqdefault.jpg
"DON'T Repeat These 5 Coding Mistakes! Ft. Prakash Sakari, Mentor - GeeksforGeeks",6.6K views,8 months ago,/watch?v=EHWtNSP2nWI,https://i.ytimg.com/vi/EHWtNSP2nWI/hqdefault.jpg
Delivery Hero Interview Experience 2022 | Delivery Hero Interview Questions | GeeksforGeeks,3.2K views,8 months ago,/watch?v=Rj1TxLy1fb8,https://i.ytimg.com/vi/Rj1TxLy1fb8/hqdefault.jpg
Geek-O-Lympics 2022 LIVE Now | GeeksforGeeks,3.5K views,8 months ago,/watch?v=wHwqqjHdX70,https://i.ytimg.com/vi/wHwqqjHdX70/hqdefault.jpg
Geek-O-Lympics 2022,3.3K views,8 months ago,/watch?v=jF_yK4XRk40,https://i.ytimg.com/vi/jF_yK4XRk40/hqdefault.jpg
"Not from tier 1 college? No problem! | GeeksforGeeks ft@TharunSpeaks  | GfG Karlo, Ho Jayega!",8.7K views,8 months ago,/watch?v=KOR03BBr9MY,https://i.ytimg.com/vi/KOR03BBr9MY/hqdefault.jpg
Spend Your Summer Vacations Wisely! Ft. Sandeep Sir | GeeksforGeeks,9.4K views,8 months ago,/watch?v=npoTmRqPjcU,https://i.ytimg.com/vi/npoTmRqPjcU/hqdefault.jpg
PayPal Interview Experience 2022 | PayPal Interview Questions | GeeksforGeeks,5.9K views,8 months ago,/watch?v=-S7R-NBIeI8,https://i.ytimg.com/vi/-S7R-NBIeI8/hqdefault.jpg
"Zabardast Gyaan | GeeksforGeeks ft. @IqlipseNova   | GfG Karlo, Ho Jayega!",28K views,9 months ago,/watch?v=p0n8lcCiR9Q,https://i.ytimg.com/vi/p0n8lcCiR9Q/hqdefault.jpg
Google Interview Experience 2022 | Google Interview Process | GeeksforGeeks,26K views,9 months ago,/watch?v=lmCJyfYsBHo,https://i.ytimg.com/vi/lmCJyfYsBHo/hqdefault.jpg
Happy Fathers Day | GeeksforGeeks,2.2K views,9 months ago,/watch?v=I0Nx2l2wiU4,https://i.ytimg.com/vi/I0Nx2l2wiU4/hqdefault.jpg
From One Aspirant To Another | GeeksforGeeks ft. Naveen Kasturia,3.3K views,9 months ago,/watch?v=rGCEvfeJD-w,https://i.ytimg.com/vi/rGCEvfeJD-w/hqdefault.jpg
"How to Prepare a Winning Resume in 5 Steps Ft. Prakash Sakari, Mentor - GeeksforGeeks",3.4K views,9 months ago,/watch?v=tUan6S_9Z9g,https://i.ytimg.com/vi/tUan6S_9Z9g/hqdefault.jpg
One Stop Destination To Succeed In The World Of Coding! | GeeksforGeeks ft. Mayur More,33K views,9 months ago,/watch?v=7_8wrRym7kU,https://i.ytimg.com/vi/7_8wrRym7kU/hqdefault.jpg
Hotstar Interview Experience 2022 | Hotstar Interview Process | GeeksforGeeks,7.9K views,9 months ago,/watch?v=a5WeFxOoo_E,https://i.ytimg.com/vi/a5WeFxOoo_E/hqdefault.jpg
"GeeksforGeeks Goes To Dronacharya College, Gurugram",1.5K views,9 months ago,/watch?v=iNfcO0aF7uI,https://i.ytimg.com/vi/iNfcO0aF7uI/hqdefault.jpg
BEST Opportunities For Women In Technology | Internships & Courses #shorts,2.6K views,9 months ago,/watch?v=rQfJyOhh0BM,https://i.ytimg.com/vi/rQfJyOhh0BM/hqdefault.jpg
GeeksforGeeks Goes To KIET Ghaziabad,2.9K views,9 months ago,/watch?v=wPSJUa6sPv0,https://i.ytimg.com/vi/wPSJUa6sPv0/hqdefault.jpg
